turkish,english
"Sabiha, Tarık'ın evden ayrılmasından sonra odasına çekilip yatağa uzandı. Hiçbir şey düşünmeden öylece yatıyordu gözleri kapalı, kocası odaya girdiğinde.","After Tarık left, Sabiha went straight to her room and lay motionless on her bed with her eyes closed."
- Mühim bir hastalık… Fakat daha kötüsü de olabilirdi.,"“A grave illness . . . , which could have been worse."
"Bazen bir yarasa, tam adım attığı yerden fırlar, cinsini bilmediği bir başka kuş uzakta yavrularını çağırırdı.","Occasionally a bat would dart from where he’d stepped, and in the distance another winged beast would call to its fledglings."
"""Şeküre, bir kabahatim olduysa özür dilerim, diyor,"" dedim.","“Shekure told me to tell you that if she has wronged you, she’s sorry,” I said."
"O zamanlar o fabrikada, hayatımı güvenceye aldığıma inanarak, kendime fazla soru sormaksızın çalışıyordum.",Up until then I had been working in that plant; I was listless; I believed that my life had found security; I was entitled to a pension. I didn’t have to work to the point of exhaustion; thus I led a carefree life.
- Nasıl?diyordu.,“So what do you think?” he said.
Buradan yürüyemezdim.,This wasn’t the way to make it work.
Her nere baktıysam yarimi gördüm.,"""Wherever I looked, I saw only my love."""
Çavuş kapıyı üç defa hızlı hızlı çaldı.,The Sergeant knocked on the door three times.
"Bu arada ekrana sabitlenmiş olan Asya yazmaya devam ediyordu: ""Ama ben sizin geçmişinizi inkâr etmiyorum ki. Kaybınızı ve acınızı kabul ediyorum.","In the meantime, Asya, still fixated on the screen, typed, I do recognize your loss and grief."
Çünkü çok güzel iş. Bugün epeyce nadirdir.,"“For it’s a magnificent piece, and extremely rare nowadays."
"Kerimoğlu, bu sözlerdeki kini fark etti. Yüreği sızladı.",Kerimoghlu sensed his envy.
"Bir gece aşka gelip kazaska oynamıştı, nefesimiz kesilmişti.""",I’ll never forget the night he ecstatically danced a Kazakhstan dance! We were left speechless.”
"Padişahımızın nakkaşhanesinde artık Frenk tarzında nakşedilecek, bütün hayatlarımızı verdiğimiz usuller ve kitaplar yavaş yavaş unutulacak, aslında her şey bitecek ve Erzurumiler bizi sıkıştırıp hırpalamazsa Padişah'ın işkencecileri bizi sakat bırakacaktı... Ama ağlarken, kendi hıçkırıklarım ve iç çekmelerim arasında nasıl yağmurun hüzünlü tıkırtısını hâlâ dinlemeye devam ediyorsam, aklımın bir köşesiyle de beni ağlatan şeyin bunlar olmadığını da hissediyordum.","From now on, the European style would be preeminent in Our Sultan’s workshop; the styles and books to which we’d devoted our entire lives would slowly be forgotten — yes, in fact, the whole venture would come to an end, and if the Erzurumis didn’t throttle us and finish us off, the Sultan’s torturers would leave us maimed…But as I cried, sobbed and sighed — even though I continued to listen to the sad patter of the rain — a part of my mind sensed that these were not the things I was actually crying about."
Birkaç kombinenin dışında hep eski şartların devamını görürsünüz.,"Except for a few combines, you’ll find the persistence of traditional farming."
Fakat bizim memlekette aranan kaybolur.,"But in this land, one’s aims simply receded into the distance."
"Esneyerek, ""Hemen geliyorum,"" dedi ve adam gözden kaybolunca homurdana homurdana kalktı yerinden, yüzünü yıkamak için.","“I’ll be right with you,” Macit said, yawning. He got up, muttering to himself, and washed his face."
Ayağa kalkmam gerekiyordu.,I had to get up.
"Yaşananlara böylesi bir açıdan yaklaştığında, babasının bu özelliğiyle gizliden gizliye övünüyormuş gibi gelirdi bana. Bunu en çok ‘yaşlılık yıllarında bile göze almış o küçük maceralar’dan söz ettiği zamanlarda anlamıştım.",This weakness seemed to be a source of secret pride for her. I had sensed this when she spoke about the occasional illicit relations carried out by her father in her old age.
"Sultanla rüyalarından, heyecanlarından, korkularından ve geçmişle geleceğinden sözederken, karşımdaki bu şakacı, aklı başında adamın, yıllardır Hoca’nın bana anlattığı Padişah'a ne ölçüde benzediğini düşünürdüm ben.","While I spoke with him about his dreams, his enthusiasms, his fears, about the past and future, I’d wonder to what degree this good-humoured, intelligent man in front of me resembled the sultan Hoja had talked about year after year."
Anita’nın hikâyesinde bendeki birçok hikâyenin uzantısı vardı.,In Anita’s story one could perceive the presence of a good many stories stored in my memory.
"Benim Rumelikavağı’ndaki o lokantada birlikte yemek yediğim Enrico Weizman, yaşadığı her anın zevkini çıkarmaya çalışan, yerli yersiz, dahası biraz fazla gülen, ölümlerden, bir yemekten, havadan söz edermişçesine söz eden, ‘o uzak günlerde’ bıraktıklarının dışında, tüm anılarını, kendisini dinleyenlerin önünde ‘çırılçıplak’ bırakmayı bilerek anlatabilen bir insandı.","Enrico Weizman with whom I had lunch at Rumelikavağı was a man who tried to make the best out of every situation he found himself in, who, every now and then, laughed, sometimes without rhyme or reason, who spoke about death as though he was delivering a speech on a meteorological forecast and who recounted assiduously his recollections to anybody willing to listen, anyone without the least moral scruple, save for those he had left behind in the years gone by."
"""Silah atıldı,"" dedi Marcel, ""duymadınız mı?""","“There was a shot,” said Marcel. “Didn’t you hear it?”"
"Hangi büyük yolda o yüzlerce insanlık acayip, perişan, mustarip kafileye katılmışlardı?","On which main road did they join the ghastly, miserable procession of suffering hundreds?"
"Evde yok, dedi kahırlı kahırlı...","He turned to his companions and whispered: ""She's not at home."""
"Az sonra, çıkarılan bir elbisenin hışırtısını duyarak korkuyla döndüm.","A moment later, hearing the rustle of clothes being taken off, I turned around apprehensively."
Ne bitmez tükenmez gece.,"What an endless, inexhaustible night."
"Bakü’deki Türk Komünist Partisi’nin başında Mustafa Suphi adında, Bolşeviklerin çok tuttuğu bir adam vardı.","The Communist party of the Turks in Baku was headed by one named Mustafa Soubhi Bey, who was evidently persona grata in the eyes of the Bolsheviki."
Sonra bir kere daha ağzına aldı dudaklarını.,"He kissed her full on the lips this time, drawing her tight."
"""Ne oluyor?"" diye sordu Constance alçak sesle.",“What’s happening?” Constance whispered.
"Fakat bu dıştaki sessizliklerine rağmen, Türk milletinin muhtemel akıbetini en çok onların hissetmemiş olduğunu sezdim.","But in spite of this apparent calm I was becoming conscious of something subtle and penetrating about them. They did not talk much; still, I felt that they were profoundly affected and sad."
"İşte o gece, sofada yatıyordum.",So I was sleeping in the living room.
Ben tembel insanlardan hoşlanmam.,“I don’t take well to lazy people.
Fırsatı varken doğurmadığına nasıl yanıyordu.,How she lamented not giving birth to another child while she was still able.
"Böylece dinim gözümde uğruna kolayca can verilecek bir şey oluverdi; kendimi önemsiyor, bir yandan da soru sordukça dinimden dönmemi zorlaştıran o ikisi gibi kendime acıyordum.","Suddenly my religion became something that seemed easy to die for; I felt I was important, and on the other hand I pitied myself the way these two men did who made it harder for me to abandon my religion the more they interrogated me."
"Öteki tarafta beyaz îran kedisinin evden kaçtığı sırada çiftleşmeyi başardığı, tam olarak tespit edilememiş ama belli ki tekir türünden bir sokak kedisinden gelen ""sokak"" genleri.","On the other hand, there was the ""street"" gene coming from an unidentified but apparently tawny street cat the white Persian had managed to copulate with in one of her runaways."
"Babamın ayakkabılarını, kavuğunu, mor feracesini sakladım ve çocuklar uyanınca onlara dedelerinin iyileştiğini, erkenden Mustafa Paşa'ya gittiğini söyledim.","I hid my father’s shoes, quilted turban and purple cloak, then explained to the children once they awoke that their grandfather had gotten better and had left for the Mustafa Pasha district early in the morning."
"Kimse kimseye güvenmiyor, her an karşısındakinden bir alçaklık bekliyor herkes.","No one trusted anyone, everyone expected to be done in at any moment by the man next to him."
"O, bana kalırsa, başka bir yerde, farklı bir sarhoşluğu göze almak istemişti.",He must have ventured on a drinking binge somewhere else.
"‘Hava biraz daha sıcaktı’ belki ama, hepsi bu kadardı.","The only remark he could make was about the weather, which was a little warmer; that was all."
"Bu o kadar beklenmedik ve komik bir şeydi ki, neredeyse kahkahayı fırlatacaktık.",It was such an absurd and unexpected sight that we couldn’t help but burst out laughing.
Ne var? diye sordu.,"""What's the matter?"
"""Ah o nasıl laf Mösyö Asseo.","“Don’t say things like that, Monsieur Asseo."
Onun için sonuna doğru tedbirlerini alırdı.,She took all necessary precautions to avoid such an outcome.
"""Alo,"" dedi.","“Hello,” she said."
Nur olsun o eller…,May God bless the hands that struck you!”
"İncilâ Hanım, anlayabildiğim kadarıyla, hikâyesinin karanlıkta kalan bu bölümlerine ışık tutabilecek hiçbir açıklamada bulunmamıştı.","As far as I can remember, İncila Hanım had said nothing likely to shed light on the dark corners of her life."
"Kolonel Rawlinson’un vazifesi, Doğu Anadolu’nun silâhlarını elinden alıp silâh ve cephaneleri Kafkas Ermenilerine götürmekti.",The apparent duty of Colonel Rawlinson was to disarm Eastern Anatolia under the threat of those troops and send the munitions and arms out of the country via Armenian Caucasus.
Hakikaten bir enstitü için yakışıksız bir isim.,In fact it’s rather unfortunate to have to besmirch the institute with such a name.
Abdi Ağa elindeki tabancayı yanındakilere uzattı:,Abdi Agha handed it to the man next to him.
"""Ben de iyi oynarım,"" dedi Rafo.","“I’m a good player too,” said Rafo."
"Karşıma oturduktan kısa bir süre sonra, o işveli gülümsemesinden bir kez daha güç almaya çalışarak, ama biraz da kızmış gibi görünerek, önemli bir yanlışıma dikkatimi çekmek istercesine, “Servisi yapmayacak mısın? Ne biçim kavalyesin sen!” diye çıkışmıştı.","A short time after, she had settled in her armchair. “Well!” she said with her winning smile, “Aren’t you going to pour the tea for me like a perfect gentleman?” as though she was reproaching me."
"Hemen her şeyi unutuyor, her şeyi birbirine karıştırıyordu.",And it was more than just forgetfulness: he was becoming increasingly confused.
"Kâğıda yıllar sonra geçecek, geçirilmek istenecek bir konuşmanın, zamanın, başka konuşmaların etkisiyle kılık değiştireceğini, başka konuşmaları da beraberinde sürükleyeceğini biliyor gibiydi sanki Gordon.",It seemed as though Gordon knew beforehand that a conversation destined to be put into black and white would change its color under the influence of other conversations which would cause it to be interspersed with their fragmentary contents.
"Önündeki masada, saat, kitaplar, zaman, kötülük, hayat, kalem, harita, pusula, kutular, içlerinde altın paralar, başka şeyler, ıvır zıvır, kimbilir pek çok resimde olduğu gibi anlamadığım ve sezdiğim şeyler... Cinin, Şeytan'ın gölgesi ve sonra babasının yanında güzeller güzeli rüya gibi kızı.""","Resting on the table before the nobleman were a clock, books, Time, Evil, Life, a calligraphy pen, a map, a compass, boxes containing gold coins, bric-a-brac, odds and ends, inscrutable yet distinguishable things that were probably included in many pictures, shadows of jinns and the Devil and also, the picture of the man’s stunningly beautiful daughter as she stood beside her father."
Beni bulursa... Allah var demez... Kıyık kıyık kıyar beni.,"""He might .find me . . . God forbid!"
Birileri için... O anlaşmaları seçenler için...,for those who had opted for covenants.
"Hikâyenin en acıklı, ama bana kalırsa, Schwartz’ı en iyi veren bölümlerinden biriydi bu.",This was a section of the story that—although tragic—best represented this ex-captain who had inspired confidence in many a soul thanks to his knowledge of the Yiddish language.
"Bu definenin bulunması gaip âlemdekilerin, yani Aselban’ın ana ve babasının ve bilhassa çok hiddetli ve Aselban kadar güzel kardeşinin sevgiliye erişmesi için koştukları şarttı.","those who lived in the world beyond—namely Aselban’s mother, father, and violent sister, whose beauty was not inferior to Aselban’s."
Odanın içinde sağa sola dolaştı. Tekrar önümde durdu:,"He paced up and down the room, and then stopped just in front of me."
Devletin içten çöküşü kadar dışardan da ku-şatılışını seyretmişti.,He had seen the state besieged from without until it finally collapsed from within.
"Bunları fotoğraf albümlerine dahil etmemiş, resim kutusunun da en altına saklamış hep, Fazıl Reşat Paşa sanki resimleri karıştırır da bakarmış gibi. Ama olsun, o saklasın da, ne yapacağı belli olmaz, eline geçecek olursa yırtar mırtar...","She had not put them in the family album, and took special care to hide them at the bottom of her box. As if Fazıl Reşat Paşa would bother to look for them! Anyway, she didn’t want to take the chance."
"Paraya da inanmaz, ama korkakça biriktirir.","He had no faith in money, but he’d nervously squirrel it away."
"Paris'teki arkadaşımız Tarık Bey, bugün telefonda sizin için randevu alırken söyledi, Sabihanım'ın kız kardeşi olduğunuzu.","Tarık, our friend in Paris, tells me you are Sabiha Hanım’s sister. When he telephoned he told me to make this appointment for you."
"""Çocukları alıp eve döneli iki yılı geçti, ama kayınpeder ile kayınbirader beni geri getiremiyorlar.""",“Two years have passed since I returned here with the children and my in-laws haven’t been able to force me back…”
Fakat bu kadarı kâfi değil.,But that’s not all.
"Cehennemde Bir Ada, Gülseren Engin, Remzi Kitabevi.","Gülseren Engin, Cehennemde Bir Ada"
"Karşı koydum; evet, korkak değildi, ama her insan gibi elbette onda da olumsuz bir şeyler vardı, onların üzerine giderse asıl kendini bulacaktı.","I argued that though he wasn’t a coward, he had his negative sides like everyone else, and if he delved into them he would find his true self."
"Onların bu yolculuğa başkaları istediği için çıktıklarını, dönüp dönmeyecekleriniyse ancak Tanrı’nın bilebileceğini söylemişti Rahibe Marie-Thérèse.","To this, the prioress had answered saying that only God knew when, if ever, they would come back."
"Ama sonra, Marcelina’nın Cambridge’den, Londra’nın bilinmeyen, keşfetmek istediği bir yerine gittiği akşam, yaşadıklarımızı, gerçeklerimizi birbirimize anlatmak zorunda kalmıştık.",But then we had to relate to each other our respective experiences when Marcellina had left Cambridge for an unknown corner of London.
"Bu kadınlar yeni meslek sahipleriydi - avukatlar, öğretmenler, hâkimler, yöneticiler, kâtipler, akademisyenler... Annelerinin aksine eve kapatılmamışlardı ve dişiliklerini ortaya çıkarmama şartıyla sosyal, ekonomik ve kültürel merdivenin tepesine","These women constituted the new professionalslawyers, teachers, judges, managers, clerks, academics.... Unlike their mothers they were not confined to the house and had the chance to climb the social, economic, and cultural ladder, provided that they shed their sexuality and femininity on the way there."
"Fakat, iki defa toplanıldıktan sonra iş karıştı.",But after two meetings they came to grief.
"Bebekken göz-boncuklan ve muskalarla kuşatılmış, yürümeye başladıktan sonra hep göz önünde tutulmuş, sekiz yaşma kadar saçları kesilme-mişti, kız çocuğu gibi dolaşırsa Azrail'i aldatabileceğim umarak.","As a baby he was bundled in evil-eye beads and amulets, as a toddler he was kept under constant surveillance, and until age eight his hair was kept long like a girl's so as to deceive Azrail, the angel of death."
"Yakın akrabalarımızı, dostlarımızı mı feda edeceğiz?",Are we to sacrifice our closest friends and relatives?
"Ayrıcalıklı, tüm olasılıklara açık, ama aynı zamanda da güçlü duvarlarla örülü bir dünya... O limanı görebilmek, daha iyi görebilmek için, sadece sözcüklerle, sözcüklerin bizdeki anlamlarıyla yetinmemiz gerekiyor belki de bu durumda... Hikâyede ilerleyebilmek için yeni sorulara gereksinim duyuyorum bu durumda da.","In order to have a glimpse of that world, we had no means other than mere words and the meanings we attributed to them. To make headway in the story, I needed to find answers to further questions."
"Kimi gazete ya da kitap okuyor, kimileri sarkıtılmış ekranlardan Kral Arthur'un düşmanlannı katledişini seyrediyor, kimisi bulmaca çözüyordu.","Some of them were reading books or newspapers, some watching King Arthur slay his enemies on an in-flight video game, while others were immersed in crossword puzzles."
— Meşrutiyet hatibi... Yeni idareyi alkışlıyor.,"“He is praising the New Régime,”’ said Vehbi Effendi."
"Kara ile, yukarıdan bakan ve içtenlikten uzak bu dille niye konuştuğumu bilmediğimi söylemiştim ya demin.",You remember how only recently I declared I didn’t know why I was speaking to Black in such a high-handed and insincere manner.
Fırının küçük ağzına lambayı tuttum.,I held the lamp to the small mouth of the stove.
Resmi cüzdanının içine soktu.,He put the photograph in his wallet.
"Onun gibi, insanlara “Acaba ne işe yarar?” diyen bir gözle bakıyor, hayatı kendi teknemde yoğuracağım bir hamur gibi görüyordum.","Like him, I began to look at people with eyes that wondered, “Now, what use could he be to us?” and to see life as dough that could be kneaded by my own two hands."
Abdi Ağanın karşısında da halka oldular. Meraktaydılar.,expectantly in a circle around Abdi Agha.
"""Yine de Halim'in tahsil masraflarını ben karşılamak isterim. ""","“Be that as it may, I would like to pay for Halim’s education.”"
Onu seçmekte zorlanmadım.,I immediately recognized her.
Zamana bir kez daha ihtiyacımız vardı.,We needed time.
"""Şimdi düşünme bunu,"" diyerek onu rahatlatmaya çalıştı Aram.","""Don't think about that now,"" Aram tried to soothe her."
"Çok beklettim, diye özür diledi.","""''ve made you wait a long time,"" she apologized."
Bu kadar öfkelenmeye?,Worth getting so angry?
"Çocukların sözünü ettiği, dokunduğu şeyi kesen o korkunç kırmızı kılıcından ve aklıma gelenlerden öyle korktum ki, kaçmak isteyerek kendimi telaşla sokağa zor attım.","I became afraid of my thoughts and that terrible red sword the boys talked about, which severed whatever it touched; in my desperation to leave, in a near frenzy, I stumbled outside onto the street."
"Hayatta istediklerini bir türlü yerine getirememiş, devamlı kendinden feragat ede ede en nihayetinde kendisi dışında her şeye ve herkese kırgınlık besler olmuş, çok çabuk parlayan, çok çabuk insan harcayan ve kocasından çok daha iyi karikatür çizdiği halde onun kadar takdir görmemenin acısını zehir gibi damarlarında taşıyan bu kadın, şimdi kocası yanında konuşurken on iki yıllık hayat arkadaşını içinden geldiği gibi paylasın mı, yoksa ideal bir eş gibi her şeye rağmen taşkınlığına destek mi olsun karar veremiyordu.","The cartoonist's wife, who was a jittery woman with frill, somber eyes and too much umbrage welled inside, and who happened to be a better cartoonist than her husband but far less appreciated, gnashed her teeth, torn between picking on her partner oftwelve years, as she would like to do, and supporting his frenzy no matter what, as an ideal wife would do."
"Az buz bir mesele sayılmaz bu - ne de olsa insan jinekologla randevusuna geç kaldığını fark ettiği anda, oraya gitmek için duyduğu kıt isteği hepten kaybedip hiç gitmemeye karar verebilir kolaylıkla. Hızlandı.","Not a negligible risk, indeed, given that the moment you notice being late for an appointment with the gynecologist, you might decide not to go there at all."
"Yeter ki mektep hayatına yeniden başla.""",All I ask is that you return to school.”
Rose yemek pişirmeye olan düşkünlüğü ve kendini ancak orada tam anlamıyla evinde hissettiği için severdi.,"Rose loved it because she loved cooking, and it made her feel at home."
"Çocuğun kocaman bir başı vardı. Düz, güneşten solup, kırmızı olmuş kara saçları alnına, yüzüne dümdüz, dikine düşüyordu. Yüzü ufacıktı. Kupkuru bir yüzdü.","She noticed that his head was big, his hair black, bleached here and there almost red by the sun and hanging straight over his forehead into his little face, which was thin and dry."
"Kara çamaşır sepetlerinin dibine varıncaya kadar, bütün sandıkları, kutu içlerini didik didik ararken, ben hiçbir şeye elimi sürmeden, Zeytin'in Bursa işi havlularına, abanoz tarağına, kirli hamam peşkirine, gülsuyu şişelerine, Hint basmasından gülünç bir peştemala, hırkalarına, yırtmaçlı, ağır ve kirli feraceye, çarpık çurpuk bir bakır tepsiye, aldığı paraya göre ucuz ve bakımsız eşyasına ve pis halılarına göz atıyordum.","As Black was searching meticulously through all the chests and boxes, going as far as to check the bottoms of laundry baskets, without touching anything I glanced at Olive’s Bursa towels, his ebony comb, his dirty bath hand towel, his rosewater bottles, a ridiculous waist cloth with an Indian block-print pattern, quilted jackets, a heavy, dirty women’s robe with a slit, a dented copper tray, filthy carpets and other furnishings too cheap and slovenly for the money he earned."
"On biri çeyrek geçe Armanuş, nihayet Şuşan Nine'nin evine döndü. Kapıyı açarken bütün aileyi salonda siyaset konuşup çay içerken, meyve dilimleyip onun dönüşünü beklerken bulacağından korktu bir an.","At a quarter past eleven Armanoush fished out a bunch of keys to open the many locks of Grandma Shushan's door, fearing in the meantime encountering the whole family in the living room, talking politics, drinking tea, and eating fruit, awaiting her return"
"Kaptanıderya Kılıç Ali Paşa denizlerde yakalayıp esir ettiği kâfirlere çamurdan bir kefere dağı yaptırmış, hepsini arabaya bindirmiş ve Padişah'ın tam önündeyken dağın içindeki barutu patlatarak kâfirin memleketini toplarıyla nasıl inim inim inlettiğini göstermişti, resimde aynen gördüm.","In one wagon I saw precisely how Sea-Captain Kiliç Ali Pasha had forced the infidels he’d captured at sea to make an “infidels’ mountain” out of clay; he’d then loaded all the slaves into the cart, and when he was right before the Sultan, he exploded the powder within the “mountain” to demonstrate how he’d made infidel lands wail and moan with cannon fire."
"Genç kadın hakikaten güzeldi, yürüyüşünde, endamında, gülüşünde kendisine mahsus bir üslûp ve cazibe vardı.","She was genuinely beautiful, and she exhibited style and appeal through her stride, her figure, her laugh."
"""Tarhana koymuşlar zati torbaya. """,“All we’ve got left in the pack is powdered yogurt for soup.”
Bu melek gibi vücuda o kadar korkunç hayaller yakışır mı?,Do these horrible dreams suit this angelic body?
Kendilerini yalnız bu ışığın kurtardığını sanıyordu.,He felt that this light alone saved them.
"Eniştemin bütün meslektaşları, Harbiye'den arkadaşları, hastaları ve inan bana, Beyazıt semtinin nerdeyse tamamı oradaymış.","Say a prayer.” All of Mahir’s colleagues, his friends from the military academy, his patients, and half the neighborhood of Beyazit—and that’s no exaggeration—were there."
Bu minval üzere uzun bir süre fısıldadım.,For a long time I whispered on in this manner.
Hiç de fena olmaz!,Not a bad idea at all in fact!
Bu ‘karanlık bölgeler’ öğrencisini çok iyi tanıyan Mr. Dyson tarafından bilinçli olarak mı çizilmişti yoksa?,"Could it be that the said penumbras, the area containing things of obscure classification, had been charted on purpose by Mr. Dyson, who knew his student so well?"
Memedin sevinçten gözleri parladı.,Memed's eyes sparkled with pleasure.
Hakkında kitap üzerine kitap yazılıyor.,Books upon books are being written about this man.
"""Nereyi düşündün?""",“So where?”
"Tek pencerenin önünde, duvarın dibinde tozlu ve sefil, âdeta sürünen mevsim sonu çiçeklerine bakarak düşünüyordum.","I thought of her as I stood before the window, studying the last flowers of the season, dusty and forlorn, at the base of the garden wall, struggling to stay alive but surrounded by misery."
"Ancak, beni o akşamlarda asıl ilgilendiren, birçok yorumu yapılabilecek bu gizli anlaşmadan çok, Tant Tilda’nın, bu dükkânlardan elde ettiği gelire yaklaşım biçimiydi galiba.","What interested me in particular at the time, was, I believe, not that secret contract liable to varying interpretations, but rather Aunt Tilda’s capital gain from the lease she took out on the shops."
"""Niye dışarı çıkalım?",“There’s no need to.
"Çok efendi, çok terbiyeli bir çocuktu, üstelik Sitare ve Bülent gibi iki canavarla mucizeler yaratmıştı.","He was such a polite and proper boy and had worked miracles on those two little monsters, Sitare and Bülent."
Mehpeyker ise bu teklifin kabulünde iki üç dakika bile tereddüt göstermedi.,"Mahpeyker, on the other hand, has not shown any hesitancy in accepting this offer even for two or three minutes."
İpuçları beni farklı bir insana götürebilirdi.,Clues might have led me to a different aperture.
Bu toplumsal işkenceden keyif alıyor değildi elbette ama içinden bir ses başkalarının fikirlerini ve yargılarını umursamamayı öğütlemişti ona. Ne de olsa fark etmeyecekti sonuç olarak.,"Not that she was enjoying the tortuous moment, but the indifference deep underneath had just whispered to her not to mind other people's opinions since they would make no difference at the end of the day."
"Kaldmm taşlan, aşağıdaki oyuğu derinleştirerek yağarken Zeliha paniğe kapıldı, bu hoyrat uçurum tarafından yutulmaktan korktu.","As cobblestones rained from above, enlarging further the cavity underneath, she panicked, afraid of being swallowed by the hungry abyss."
Alman inceliği dedikleri buydu galiba!..,German gentility!
"Fakat, son derece rahattı.","She was comfortable, completely at ease."
"Bu cümleyi bitiremiyordu. Acaba, bir daha bir suç işlemeyeceğini mi, yoksa bir mülteciyi kaçırmayacağını mı söylemek istiyordu?",“ He never finished the sentence; but I couldn’t make out whether he would never carry refugees in his carriage or never commit another crime.
Uzak bir coğrafyanın insanları...,The inhabitants of distant lands . . .
"""Tabii ki ona bakmak için gece yanına gideceğim.",“Of course I go to his bedside at night to look after him.
"""Fark etmez!",“I don’t care!
"Ahmet Reşat'ın, Sul-tan'ın çaresizliği karşısında içi parçalanmıştı.",Ahmet Reşat sympathized deeply.
Muammer masasına döndü.,Muammar returned to his table.
"Burada yalnız enstitümüzün, İstanbul halkını o kadar şaşırtan, düşündüren ve aynı zamanda güldüren sloganlarının Nuri Efendinin bu naklettiğim cümlelerinden doğduğunu derhal ilâve edeyim.","But I will note here only that our institute’s slogans, which surprised, amused, and even challenged the minds of the people of Istanbul, were born of these sayings first uttered by Nuri Efendi."
"Celadet Hanım da aynı sinemadaymış. Sizi görmüş.""",Celadet Hanım saw you there just the other day.”
"Bekleyiş bir kez daha, isteseniz de, istemeseniz de karşı karşıya kaldığınız dünyanın sizden esirgediklerinin, hiç kimseye anlatamadığınız kâbuslarınızın ya da o kâbuslardaki sessiz, içinizde kalan çığlığınızın izlerini taşıyordu.","The waiting that carried the traces of nightmares which you could not avoid in spite of your efforts to the contrary, those nightmares laden with those things that the words had withheld from you, those nightmares with the traces of the suppressed cries they contained that you could not bring yourself to disclose to anyone."
"Merhaba, merhaba, selam olsun usta sanatçılara ve misafirlere.","Hello, hello, greetings to all the master artists and assorted guests."
Gözlerinden yaşlar akıyor.,"He nodded, tears streaming down his face."
Almanca bağıra çağıra bir şeyler söylediler.,They started yelling and saying something in German.
Asya'nın tarzı hemen seçiliyordu.,It wasn't hard to recognize Asya's style.
Toprak üstündeki çiyler güneşi görünce havaya karıştığı gibi benim de yüzünüze bir kez bakınakla bütün gönlüm yükselmeye başladı.,"Like dew drops turning into air under the sun, when you first looked at me, my heart started to rise."
Nereden geliyordu bu?,Where did it come from?
"Düşünerek ve hatırlayarak, daha da gülüncü, gerçek bir ata baka baka çizilecek bir at resminin baştan boyuna, boyundan da gövdeye doğru çizileceği malumdur.","Obviously, to render a horse through excessive thought and recollection, or even more ridiculous, by repeatedly looking at a real horse, one would have to move from head to neck and then neck to body."
"""Gayrimeşru bir çocuk doğurmaktan.","""Oh, giving birth to an illegitimate child."
"Tevfik Beyin on seneden beri ortada görünmeyişi, sevdiği eğlence âlemlerinden el ayak çekişi büsbütün başka sebeplerdendi.","Tevfik’s decade-long seclusion, his withdrawal from the world of dalliance and diversion, arose for different reasons."
"Merzifon, pamuk dokuma merkezlerinden biri olduğu için, tezgahlarında dokunan incecik pamukluları büyükbaban İstanbul'a ve Şam'a gönderir, İstanbul'dan ve Selanik'ten aldığı hazır giyim ve süs eşyalarını da, mağazasında satardı.","Your grandfather would send bolts of the fine cotton woven in Merzifon to traders in Damascus, and from Istanbul and Thessaloniki, he would order readymade clothing and odds and ends to sell in his store."
"O cümle, kimde, hangi fotoğrafı gizliyordu?..","Which photograph was that detail concealed in, and in whose custody did it lay?"
Tamam mı?,"""Is that all?"""
O yazı hiç unutmayacağım.,I’ll never forget that summer.
diye sordu Aram. Tam o anda bir yağmur damlası başına düştü.,"Aram asked, feeling at that moment a drop ofrain."
"Azrail de bir melek..."" gibi birtakım şakalardan sonra, ""Ne oluyorsun?",Azrael is also an angel.” “What happened?
"Koşumları gümüşten, eğerleri işlemeli atlara, o atların üzerinde samurdan, ipekten, altın işlemeli kıyafetler giymiş binicilere, yüzlerce at ve araba yükü hediyeye ve çeyize ve peşi sıra sürükleyeceği onlarca paşa kızına, sultana ve arabalarda oturup eski günlerin zenginliğini anlatan yaşlı harem kadınlarının kalabalığına layıktı Şekürem.","My dear Shekure was worthy of horses with silver reins and ornamented saddles, mounted riders outfitted in sable and silk with gold embroidery, and hundreds of carriages laden with gifts and dowry; she deserved to lead an endless procession of pasha’s daughters, sultans and carriages full of elderly harem women chattering about the extravagances of days bygone."
"""Sen nasıl doğru buluyorsan öyle yap,"" demişti Camilla.","“Do whatever you feel is right,” Camilla replied."
Böylece yıldızlardan sözedeceklerine benden sözetmişler.,This was how they’d come to talk about me instead of the stars.
Halit Ayarcı öldürdüğüm köpeği bana sürükletmiş olmanın kendisine bahşettiği memnuniyeti en cömert şekilde ödeyecekti.,Halit Ayarci would have to pay through the nose for the pleasure he’d taken in angling for the upper hand.
"Annesinin izni ve zorlaması olmasaydı, Şevket, Kara'yı asılmış Yahudi'nin evine götürmezdi.","Without his mother’s permission and prodding, he’d never have taken Black to the house of the Hanged Jew."
"Bu günlerde Dr. Refik ile Dr. Adnan âdeta endişeyle etrafında dolaşır, onunla meşgul olurlardı. Büyük odadaki manzara gözlerimin önündedir.","Dr. Refik was continually hovering round him, and Dr. Adnan used to watch his face with utmost anxiety."
"Ekrem, Nevzat Hanımın soluk ve sessiz tebessümünde Şehzadebaşı kahvelerinde bana uzun uzadıya anlattığı estetiğinin kadınını bulduğunu zannetmişti.",For it had been Nevzat Hanim’s quiet smile that had led Ekrem to believe her to embody the aesthetic he’d expound upon at length in the days we spent together in the Sehzadebasi coffeehouse.
